rec_id,label,baseline_pred,baseline_prob,baseline_correct,n_shifted_cells,n_shifted_correct,flip_count,flip_rate,conf_drop,mean_shifted_gt_prob,monotonic_axes,n_catastrophic,max_wrong_conf,frac_in_calib_band,flip_rate_sampling_rate,flip_rate_calibration,flip_rate_power_line,conf_drop_sampling_rate,conf_drop_calibration,conf_drop_power_line,category
aaaaaayx_s002_t000,0,1,0.530765,0,11,1,1,0.09090909090909091,0.18186318181818178,0.2873718181818182,1,4,0.985369,0.45454545454545453,0.0,0.25,0.0,0.31819149999999996,0.18064749999999996,0.0017129999999999646,robust_wrong
aaaaabdo_s003_t000,1,1,0.998932,1,11,11,0,0.0,-0.00029054545454543224,0.9992225454545455,0,0,0.0,0.0,0.0,0.0,0.0,-0.0004712499999999231,-0.00030199999999991345,-3.4333333333247396e-05,robust_correct
aaaaabsk_s007_t000,1,1,0.671889,1,11,9,2,0.18181818181818182,-0.039286727272727306,0.7111757272727273,0,2,0.887686,0.0,0.0,0.5,0.0,-0.2236632500000001,0.1228412499999999,-0.00962200000000002,catastrophic_shift
aaaaabuv_s002_t000,1,1,0.702817,1,11,9,2,0.18181818181818182,-0.012421636363636357,0.7152386363636364,0,1,0.876559,0.0,0.0,0.5,0.0,-0.16338249999999999,0.13609824999999998,-0.009167000000000036,catastrophic_shift
aaaaacad_s003_t000,0,0,0.388689,1,11,6,5,0.45454545454545453,0.18006263636363623,0.4312483636363637,0,4,0.990316,0.36363636363636365,0.75,0.5,0.0,0.41256574999999995,0.049995249999999936,0.04348166666666653,catastrophic_shift
aaaaacby_s004_t000,0,1,0.551142,0,11,2,2,0.18181818181818182,0.16281581818181817,0.2860421818181818,1,4,0.977554,0.5454545454545454,0.0,0.5,0.0,0.31342125,0.07175499999999996,0.08342299999999997,robust_wrong
aaaaaddm_s006_t000,1,1,0.96879,1,11,11,0,0.0,0.010500454545454563,0.9582895454545455,0,0,0.0,0.0,0.0,0.0,0.0,-0.007617749999999868,0.03777000000000008,-0.0017013333333333325,robust_correct
aaaaadeu_s002_t000,1,1,0.953334,1,11,11,0,0.0,0.00822081818181819,0.9451131818181818,0,0,0.0,0.0,0.0,0.0,0.0,-0.015236249999999951,0.03803999999999996,-0.00026199999999998447,robust_correct
aaaaadjk_s002_t000,0,0,0.26234,1,11,7,4,0.36363636363636365,0.216773909090909,0.520886090909091,1,3,0.912511,0.18181818181818182,0.75,0.25,0.0,0.47319849999999997,0.07911099999999993,0.05842500000000006,catastrophic_shift
aaaaadkb_s002_t000,1,1,0.989897,1,11,11,0,0.0,0.015618363636363708,0.9742786363636363,0,0,0.0,0.0,0.0,0.0,0.0,0.009918750000000087,0.03361449999999999,-0.0007769999999999166,robust_correct
aaaaadsm_s002_t001,0,0,0.145046,1,11,7,4,0.36363636363636365,0.23680136363636362,0.6181526363636364,0,2,0.989332,0.18181818181818182,0.75,0.25,0.0,0.49850075000000005,0.12511375000000002,0.036785666666666716,catastrophic_shift
aaaaaeab_s003_t000,0,0,0.390378,1,11,6,5,0.45454545454545453,0.18087990909090912,0.4287420909090909,0,4,0.995632,0.45454545454545453,0.75,0.5,0.0,0.4026025,0.054475750000000045,0.05378866666666671,catastrophic_shift
aaaaaejc_s003_t001,0,1,0.6583,0,11,2,2,0.18181818181818182,0.035504272727272745,0.30619572727272726,1,5,0.997276,0.0,0.0,0.5,0.0,0.23479200000000003,-0.14547424999999997,0.01109199999999999,robust_wrong
aaaaaezn_s003_t001,1,1,0.553212,1,11,9,2,0.18181818181818182,-0.10744127272727277,0.6606532727272728,0,2,0.841715,0.36363636363636365,0.0,0.5,0.0,-0.30485324999999996,0.01750525000000014,-0.0108206666666667,catastrophic_shift
aaaaafhl_s003_t000,1,1,0.97123,1,11,11,0,0.0,0.04047463636363635,0.9307553636363637,0,0,0.0,0.09090909090909091,0.0,0.0,0.0,0.10604475000000002,-0.004726249999999932,0.013315666666666615,robust_correct
aaaaagfk_s003_t000,0,0,0.2781,1,11,7,4,0.36363636363636365,0.20928190909090916,0.5126180909090908,1,3,0.937234,0.09090909090909091,0.75,0.25,0.0,0.45519200000000004,0.07918500000000006,0.05486433333333329,catastrophic_shift
aaaaagsc_s003_t001,1,1,0.990519,1,11,11,0,0.0,0.0013055454545454204,0.9892134545454546,0,0,0.0,0.0,0.0,0.0,0.0,-0.0026357499999999368,0.006026500000000046,0.00026599999999998847,robust_correct
aaaaagsc_s006_t001,1,1,0.698331,1,11,9,2,0.18181818181818182,-0.04553490909090907,0.7438659090909091,0,0,0.761844,0.09090909090909091,0.0,0.5,0.0,-0.1923452499999999,0.08556649999999999,-0.02458966666666662,axis_specific
aaaaaguk_s002_t001,0,0,0.042421,1,11,10,1,0.09090909090909091,0.13652336363636364,0.8210556363636363,1,1,0.963824,0.0,0.25,0.0,0.0,0.33292750000000004,0.037799999999999945,0.00628233333333339,catastrophic_shift
aaaaagvx_s002_t000,1,0,0.409219,0,11,5,5,0.45454545454545453,-0.17613463636363647,0.5853536363636365,0,2,0.807874,0.36363636363636365,0.75,0.5,0.0,-0.35862649999999996,-0.0987055,-0.036051,robust_wrong
aaaaagvx_s003_t001,1,1,0.766838,1,11,10,1,0.09090909090909091,-0.04170481818181826,0.8085428181818183,0,0,0.502067,0.18181818181818182,0.0,0.25,0.0,-0.15093424999999994,0.03702250000000007,-0.001035333333333277,robust_correct
aaaaagyr_s002_t000,1,0,0.478931,0,11,9,9,0.8181818181818182,-0.16213909090909095,0.641070090909091,0,0,0.644381,0.5454545454545454,0.75,0.75,1.0,-0.26298875,-0.1642945,-0.024799000000000015,shift_recovered
aaaaahie_s005_t001,1,1,0.997691,1,11,11,0,0.0,0.0030924545454545926,0.9945985454545454,1,0,0.0,0.0,0.0,0.0,0.0,-0.001019250000000027,0.009517499999999957,8.000000000008e-06,robust_correct
aaaaahsv_s002_t000,0,0,0.120935,1,11,7,4,0.36363636363636365,0.2990162727272728,0.5800487272727272,0,4,0.99181,0.09090909090909091,0.75,0.25,0.0,0.60317,0.211789,0.009780999999999929,catastrophic_shift
