rec_id,label,baseline_pred,baseline_prob,baseline_correct,n_shifted_cells,n_shifted_correct,flip_count,flip_rate,conf_drop,mean_shifted_gt_prob,monotonic_axes,n_catastrophic,max_wrong_conf,frac_in_calib_band,flip_rate_sampling_rate,flip_rate_calibration,flip_rate_power_line,conf_drop_sampling_rate,conf_drop_calibration,conf_drop_power_line,category
aaaaaayx_s002_t000,0,0,0.165354,1,12,5,7,0.5833333333333334,0.48760466666666663,0.34704133333333337,1,5,0.999999,0.08333333333333333,0.25,0.5,1.0,0.26456775,0.36361325,0.834633,catastrophic_shift
aaaaabdo_s003_t000,1,1,0.996155,1,12,12,0,0.0,0.0033558333333331136,0.9927991666666669,0,0,0.0,0.0,0.0,0.0,0.0,0.00419500000000006,0.009716750000000052,-0.0038442499999999935,robust_correct
aaaaabsk_s007_t000,1,1,0.699185,1,12,10,2,0.16666666666666666,-0.1354517500000001,0.83463675,0,0,0.68944,0.16666666666666666,0.25,0.25,0.0,-0.08773275000000003,-0.017810250000000027,-0.3008122500000001,robust_correct
aaaaabuv_s002_t000,1,1,0.928097,1,12,11,1,0.08333333333333333,0.0039046666666665564,0.9241923333333334,0,0,0.538578,0.08333333333333333,0.25,0.0,0.0,0.07794599999999996,0.005668499999999965,-0.07190050000000003,robust_correct
aaaaacad_s003_t000,0,0,0.372931,1,12,3,9,0.75,0.37091375,0.25615525,1,6,0.999996,0.3333333333333333,0.5,0.75,1.0,0.20213274999999997,0.28511849999999994,0.62549,catastrophic_shift
aaaaacby_s004_t000,0,1,0.602313,0,12,2,2,0.16666666666666666,0.21065466666666668,0.18703233333333333,1,7,1.0,0.25,0.5,0.0,0.0,0.036202500000000026,0.1980795,0.397682,robust_wrong
aaaaaddm_s006_t000,1,1,0.700143,1,12,11,1,0.08333333333333333,-0.14179008333333354,0.8419330833333335,0,0,0.667427,0.08333333333333333,0.25,0.0,0.0,0.012288999999999994,-0.1378600000000001,-0.2997992500000001,robust_correct
aaaaadeu_s002_t000,1,1,0.700949,1,12,12,0,0.0,-0.1773235833333332,0.8782725833333332,0,0,0.0,0.08333333333333333,0.0,0.0,0.0,-0.09960400000000003,-0.13333324999999996,-0.29903349999999995,robust_correct
aaaaadjk_s002_t000,0,0,0.148474,1,12,5,7,0.5833333333333334,0.45550808333333337,0.39601791666666664,1,6,1.0,0.16666666666666666,0.5,0.25,1.0,0.40128425,0.11374525000000002,0.8514947500000001,catastrophic_shift
aaaaadkb_s002_t000,1,1,0.976895,1,12,12,0,0.0,0.029352666666666583,0.9475423333333334,0,0,0.0,0.0,0.0,0.0,0.0,0.09160049999999986,0.0195614999999999,-0.023104000000000013,robust_correct
aaaaadsm_s002_t001,0,0,0.158698,1,12,6,6,0.5,0.44283774999999986,0.39846425000000013,1,5,1.0,0.08333333333333333,0.5,0.0,1.0,0.35498700000000005,0.1322509999999999,0.84127525,catastrophic_shift
aaaaaeab_s003_t000,0,0,0.224932,1,12,4,8,0.6666666666666666,0.5364055833333333,0.23866241666666665,1,7,1.0,0.16666666666666666,0.5,0.5,1.0,0.39080725,0.44334325,0.77506625,catastrophic_shift
aaaaaejc_s003_t001,0,1,0.57697,0,12,2,2,0.16666666666666666,0.20492725000000003,0.21810274999999998,1,7,1.0,0.16666666666666666,0.25,0.25,0.0,0.12873125000000007,0.06302875000000008,0.42302175,robust_wrong
aaaaaezn_s003_t001,1,0,0.418855,0,12,9,9,0.75,-0.3508051666666667,0.7696601666666667,0,0,0.771298,0.08333333333333333,0.75,0.5,1.0,-0.2906565000000001,-0.18062025000000004,-0.58113875,shift_recovered
