rec_id,label,baseline_pred,baseline_prob,baseline_correct,n_shifted_cells,n_shifted_correct,flip_count,flip_rate,conf_drop,mean_shifted_gt_prob,monotonic_axes,n_catastrophic,max_wrong_conf,frac_in_calib_band,flip_rate_sampling_rate,flip_rate_calibration,flip_rate_power_line,conf_drop_sampling_rate,conf_drop_calibration,conf_drop_power_line,category
aaaaaayx_s002_t000,0,0,0.450823,1,12,11,1,0.08333333333333333,0.008847833333333388,0.5403291666666666,1,0,0.523862,1.0,0.25,0.0,0.0,0.02554825000000005,0.0,0.000995250000000003,calibration_collapse
aaaaabdo_s003_t000,1,1,0.99923,1,12,12,0,0.0,-8.000000000119023e-06,0.9992380000000001,2,0,0.0,0.0,0.0,0.0,0.0,-2.6250000000116458e-05,0.0,2.2499999999814335e-06,robust_correct
aaaaabsk_s007_t000,1,1,0.782429,1,12,12,0,0.0,-0.003485583333333264,0.7859145833333333,1,0,0.0,0.0,0.0,0.0,0.0,-0.01041324999999993,0.0,-4.349999999986309e-05,robust_correct
aaaaabuv_s002_t000,1,1,0.926241,1,12,12,0,0.0,-0.0004092499999999166,0.9266502499999999,1,0,0.0,0.0,0.0,0.0,0.0,-0.0013812500000000005,0.0,0.00015350000000002861,robust_correct
aaaaacad_s003_t000,0,1,0.540311,0,12,0,0,0.0,0.009537583333333322,0.4501514166666667,1,0,0.640641,1.0,0.0,0.0,0.0,0.02858324999999995,0.0,2.9500000000015625e-05,robust_wrong
aaaaacby_s004_t000,0,0,0.403534,1,12,12,0,0.0,0.008927583333333211,0.5875384166666667,1,0,0.0,1.0,0.0,0.0,0.0,0.027192499999999953,0.0,-0.00040975000000009754,calibration_collapse
aaaaaddm_s006_t000,1,1,0.953972,1,12,12,0,0.0,-0.00017483333333323525,0.9541468333333333,1,0,0.0,0.0,0.0,0.0,0.0,-0.0004972500000000046,0.0,-2.725000000003419e-05,robust_correct
aaaaadeu_s002_t000,1,1,0.910674,1,12,12,0,0.0,-0.0008024166666665833,0.9114764166666666,1,0,0.0,0.0,0.0,0.0,0.0,-0.0023169999999999025,0.0,-9.025000000006944e-05,robust_correct
aaaaadjk_s002_t000,0,0,0.087248,1,12,12,0,0.0,0.004679333333333369,0.9080726666666666,1,0,0.0,0.0,0.0,0.0,0.0,0.014008750000000014,0.0,2.924999999998068e-05,robust_correct
aaaaadkb_s002_t000,1,1,0.998146,1,12,12,0,0.0,-3.5499999999966114e-05,0.9981814999999999,1,0,0.0,0.0,0.0,0.0,0.0,-0.00010450000000006288,0.0,-2.0000000000575113e-06,robust_correct
aaaaadsm_s002_t001,0,0,0.102235,1,12,12,0,0.0,0.01069208333333349,0.8870729166666665,1,0,0.0,0.0,0.0,0.0,0.0,0.032083749999999966,0.0,-7.499999999938112e-06,robust_correct
aaaaaeab_s003_t000,0,0,0.34794,1,12,12,0,0.0,0.008810333333333364,0.6432496666666666,1,0,0.0,0.16666666666666666,0.0,0.0,0.0,0.028414999999999968,0.0,-0.0019839999999999858,robust_correct
aaaaaejc_s003_t001,0,1,0.925651,0,12,0,0,0.0,0.000982250000000004,0.07336675,1,12,0.933959,0.0,0.0,0.0,0.0,0.003012249999999994,0.0,-6.549999999999612e-05,robust_wrong
aaaaaezn_s003_t001,1,1,0.692433,1,12,12,0,0.0,-0.0069471666666667264,0.6993801666666667,1,0,0.0,0.0,0.0,0.0,0.0,-0.021089750000000018,0.0,0.0002482499999999499,robust_correct
aaaaafhl_s003_t000,1,1,0.928227,1,12,12,0,0.0,0.001714916666666677,0.9265120833333333,1,0,0.0,0.0,0.0,0.0,0.0,0.005616249999999989,0.0,-0.00047149999999995806,robust_correct
aaaaagfk_s003_t000,0,0,0.223199,1,12,12,0,0.0,0.00770291666666667,0.7690980833333333,1,0,0.0,0.0,0.0,0.0,0.0,0.02310875000000001,0.0,0.0,robust_correct
aaaaagsc_s003_t001,1,1,0.984065,1,12,12,0,0.0,-3.283333333325977e-05,0.9840978333333332,1,0,0.0,0.0,0.0,0.0,0.0,-8.200000000013752e-05,0.0,-1.650000000008589e-05,robust_correct
aaaaagsc_s006_t001,1,1,0.696709,1,12,12,0,0.0,-0.004086583333333338,0.7007955833333334,2,0,0.0,0.0,0.0,0.0,0.0,-0.013239749999999995,0.0,0.0009799999999999809,robust_correct
aaaaaguk_s002_t001,0,0,0.0243,1,12,12,0,0.0,0.0013337500000000224,0.97436625,1,0,0.0,0.0,0.0,0.0,0.0,0.004021249999999976,0.0,-2.0000000000020002e-05,robust_correct
aaaaagvx_s002_t000,1,1,0.585654,1,12,12,0,0.0,-0.0036135000000000472,0.5892675,1,0,0.0,1.0,0.0,0.0,0.0,-0.010454249999999998,0.0,-0.0003862500000000324,calibration_collapse
aaaaagvx_s003_t001,1,1,0.830598,1,12,12,0,0.0,0.0012666666666667492,0.8293313333333332,1,0,0.0,0.0,0.0,0.0,0.0,0.0038034999999999597,0.0,-3.5000000000451337e-06,robust_correct
aaaaagyr_s002_t000,1,0,0.331867,0,12,0,0,0.0,-0.00435058333333338,0.3362175833333334,1,0,0.669944,0.08333333333333333,0.0,0.0,0.0,-0.013066000000000022,0.0,1.4249999999993435e-05,robust_wrong
