rec_id,label,baseline_pred,baseline_prob,baseline_correct,n_shifted_cells,n_shifted_correct,flip_count,flip_rate,conf_drop,mean_shifted_gt_prob,monotonic_axes,n_catastrophic,max_wrong_conf,frac_in_calib_band,flip_rate_sampling_rate,flip_rate_calibration,flip_rate_power_line,conf_drop_sampling_rate,conf_drop_calibration,conf_drop_power_line,category
aaaaaayx_s002_t000,0,0,0.481904,1,12,11,1,0.08333333333333333,0.03406724999999999,0.48402875,0,1,0.940839,0.9166666666666666,0.25,0.0,0.0,0.10254774999999994,-4.999999999588667e-07,-0.0003454999999999986,catastrophic_shift
aaaaabdo_s003_t000,1,1,0.969783,1,12,12,0,0.0,-0.002451333333333361,0.9722343333333333,1,0,0.0,0.0,0.0,0.0,0.0,-0.007684250000000059,0.0,0.0003302499999998654,robust_correct
aaaaabsk_s007_t000,1,0,0.397594,0,12,1,1,0.08333333333333333,-0.04273308333333331,0.4403270833333333,0,0,0.673941,0.8333333333333334,0.25,0.0,0.0,-0.12745974999999998,-1.2000000000012001e-05,-0.000727499999999992,robust_wrong
aaaaabuv_s002_t000,1,1,0.526268,1,12,12,0,0.0,-0.036897833333333296,0.5631658333333333,0,0,0.0,0.9166666666666666,0.0,0.0,0.0,-0.11030574999999998,-5.999999999950489e-06,-0.0003817499999999585,calibration_collapse
aaaaacad_s003_t000,0,0,0.499312,1,12,10,2,0.16666666666666666,0.0211411666666666,0.4795468333333334,0,1,0.905536,0.8333333333333334,0.5,0.0,0.0,0.0634550000000001,-1.4999999999876223e-06,-2.999999999997449e-05,catastrophic_shift
aaaaacby_s004_t000,0,1,0.664513,0,12,1,1,0.08333333333333333,-0.013333749999999978,0.34882074999999996,0,0,0.773954,0.08333333333333333,0.25,0.0,0.0,-0.039912999999999976,-1.4999999999876223e-06,-8.675000000002431e-05,robust_wrong
aaaaaddm_s006_t000,1,1,0.855517,1,12,12,0,0.0,-0.0053275833333333855,0.8608445833333334,0,0,0.0,0.0,0.0,0.0,0.0,-0.015963749999999943,-4.999999999588667e-07,-1.850000000003238e-05,robust_correct
aaaaadeu_s002_t000,1,1,0.87036,1,12,12,0,0.0,0.00016350000000009413,0.8701964999999999,1,0,0.0,0.0,0.0,0.0,0.0,0.0004547500000000593,0.0,3.575000000000106e-05,robust_correct
aaaaadjk_s002_t000,0,0,0.261343,1,12,12,0,0.0,0.013498583333333425,0.7251584166666666,0,0,0.0,0.08333333333333333,0.0,0.0,0.0,0.040510500000000005,-1.0000000000287557e-06,-1.3750000000034568e-05,robust_correct
aaaaadkb_s002_t000,1,1,0.941457,1,12,12,0,0.0,-0.004580916666666712,0.9460379166666667,0,0,0.0,0.0,0.0,0.0,0.0,-0.013555749999999978,-5.00000000069889e-07,-0.00018649999999997835,robust_correct
